"SchemeCode","CritCode"
"200,404",10
"200,404",22
"200,404",34
"200,404",49
"200,404",60
"200,404",63
"200,404",64
"200,404",68
"200,404","4,000"
"200,404","4,025"
"200,404","4,195"
"200,404","5,024"
"200,404","5,164"
"200,404","5,167"
"200,407",18
"200,407",62
"200,407",65
"200,407","4,000"
"200,407","5,000"
"200,407","6,103"
"200,407","6,600"
"200,407","7,100"
"200,407","8,100"
"200,412",18
"200,412","4,006"
"200,412","4,045"
"200,412","4,049"
"200,412","4,157"
"200,412","4,185"
"200,412","4,195"
"200,412","4,214"
"200,412","5,005"
"200,412","5,025"
"200,413",56
"200,413","4,006"
"200,413","4,045"
"200,413","4,049"
"200,413","4,157"
"200,413","4,185"
"200,413","4,195"
"200,413","4,214"
"200,413","5,005"
"200,413","5,025"
"200,414",10
"200,414","4,016"
"200,414","4,045"
"200,414","4,122"
"200,414","5,076"
"200,428",12
"200,428","4,006"
"200,428","4,045"
"200,428","4,049"
"200,428","4,157"
"200,428","4,185"
"200,428","4,195"
"200,428","4,214"
"200,428","5,005"
"200,428","5,025"
"200,429",61
"200,429","4,006"
"200,429","4,045"
"200,429","4,049"
"200,429","4,157"
"200,429","4,185"
"200,429","4,195"
"200,429","4,214"
"200,429","5,005"
"200,429","5,025"
"200,488",2
"200,488","4,006"
"200,488","4,045"
"200,488","4,049"
"200,488","4,157"
"200,488","4,185"
"200,488","4,195"
"200,488","4,214"
"200,488","5,005"
"200,488","5,025"
"200,491",5
"200,491","4,006"
"200,491","4,045"
"200,491","4,049"
"200,491","4,157"
"200,491","4,185"
"200,491","4,214"
"200,491","5,005"
"200,491","5,025"
"200,492",6
"200,492","4,000"
"200,492","5,005"
"200,493",7
"200,493","4,006"
"200,493","4,045"
"200,493","4,049"
"200,493","4,157"
"200,493","4,185"
"200,493","4,195"
"200,493","4,214"
"200,493","5,005"
"200,493","5,025"
"200,494",8
"200,494","4,000"
"200,494","5,005"
"200,496",10
"200,496","4,006"
"200,496","4,045"
"200,496","4,049"
"200,496","4,157"
"200,496","4,185"
"200,496","4,195"
"200,496","4,214"
"200,496","5,005"
"200,496","5,025"
"200,497",11
"200,497","4,006"
"200,497","4,045"
"200,497","4,049"
"200,497","4,157"
"200,497","4,185"
"200,497","4,195"
"200,497","4,214"
"200,497","5,005"
"200,497","5,025"
"200,498",13
"200,498","4,006"
"200,498","4,045"
"200,498","4,049"
"200,498","4,157"
"200,498","4,185"
"200,498","4,195"
"200,498","4,214"
"200,498","5,005"
"200,498","5,025"
"200,500",15
"200,500","4,006"
"200,500","4,045"
"200,500","4,049"
"200,500","4,157"
"200,500","4,185"
"200,500","4,195"
"200,500","4,214"
"200,500","5,005"
"200,500","5,025"
"200,501",16
"200,501","4,006"
"200,501","4,045"
"200,501","4,049"
"200,501","4,157"
"200,501","4,185"
"200,501","4,195"
"200,501","4,214"
"200,501","5,005"
"200,501","5,025"
"200,502",17
"200,502","4,006"
"200,502","4,045"
"200,502","4,049"
"200,502","4,157"
"200,502","4,185"
"200,502","4,195"
"200,502","4,214"
"200,502","5,005"
"200,502","5,025"
"200,503",19
"200,503","4,006"
